assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,franchise_id
6,12,18,0.56521,2,61,13,Kakko,0,24,8481554,6,19,0.31147,R,1,1,20232024,0,0,0.14285,L,91,Kaapo Kakko,NYR,796.754,10
14,4,18,,1,82,5,Schneider,0,16,8482073,-1,19,0.2317,D,0,0,20232024,1,1,0.05263,R,95,Braden Schneider,NYR,953.9024,10
14,3,17,,1,76,3,Lindgren,0,36,8479324,22,17,0.22368,D,0,0,20232024,0,0,0.04109,L,73,Ryan Lindgren,NYR,1161.0131,10
8,3,11,0.54006,1,80,4,Goodrow,0,78,8476624,-13,12,0.15,C,0,0,20232024,1,1,0.06557,L,61,Barclay Goodrow,NYR,753.85,10
7,2,9,,1,31,2,Jones,0,8,8481708,1,9,0.29032,D,0,0,20232024,0,0,0.04761,L,42,Zachary Jones,NYR,877.7096,10
5,3,7,0.47619,1,19,3,Roslovic,0,2,8478458,-1,8,0.42105,C,0,1,20232024,0,0,0.09677,R,31,Jack Roslovic,"CBJ,NYR",807.2631,10
6,0,5,0.43283,0,10,0,Chytil,0,4,8480078,0,6,0.6,C,0,1,20232024,0,0,0.0,L,22,Filip Chytil,NYR,955.8,10
4,0,3,0.45054,0,19,1,Wennberg,0,0,8477505,-1,5,0.26315,C,1,2,20232024,0,0,0.1,L,10,Alexander Wennberg,"SEA,NYR",922.1052,10
4,1,5,0.50985,0,45,1,Bonino,0,8,8474009,-12,5,0.11111,C,0,0,20232024,0,0,0.03225,L,31,Nick Bonino,NYR,735.2444,10
3,1,4,0.17647,0,34,1,Pitlick,0,4,8475752,-6,4,0.11764,C,0,0,20232024,0,0,0.03125,R,32,Tyler Pitlick,NYR,611.8823,10
0,2,2,,0,11,2,Edstrom,0,2,8481726,2,2,0.18181,C,0,0,20232024,0,0,0.28571,L,7,Adam Edstrom,NYR,504.6363,10
1,1,2,0.5,1,17,1,Rempe,0,71,8482460,1,2,0.11764,C,0,0,20232024,0,0,0.08333,R,12,Matt Rempe,NYR,337.5294,10
39,18,40,0.38909,2,68,22,Bedard,1,28,8484144,-44,61,0.89705,C,4,21,20232024,0,0,0.10679,R,206,Connor Bedard,CHI,1187.0,11
36,12,35,0.4635,3,75,18,Kurashev,1,23,8480798,-44,54,0.72,C,6,19,20232024,0,0,0.14062,L,128,Philipp Kurashev,CHI,1141.1066,11
20,8,20,0.52413,0,74,17,Foligno,0,57,8473422,-29,37,0.5,L,8,16,20232024,1,1,0.11643,L,146,Nick Foligno,CHI,1065.8783,11
13,20,33,0.5,4,82,22,Dickinson,0,43,8477450,4,35,0.42682,C,2,2,20232024,0,0,0.1746,L,126,Jason Dickinson,CHI,994.256,11
14,9,15,0.44444,1,67,17,Johnson,0,26,8474870,-35,31,0.46268,C,8,16,20232024,0,0,0.15178,R,112,Tyler Johnson,CHI,932.3134,11
23,5,22,,4,67,8,Jones,2,34,8477495,-15,31,0.46268,D,3,9,20232024,0,0,0.04651,R,172,Seth Jones,CHI,1529.0597,11
18,11,27,0.44144,0,78,12,Donato,0,26,8477987,-14,30,0.38461,C,1,3,20232024,0,0,0.08053,L,149,Ryan Donato,CHI,839.9487,11
12,5,17,0.0,0,55,5,Anderson,0,8,8479315,5,17,0.30909,R,0,0,20232024,0,0,0.08771,R,57,Joey Anderson,CHI,812.8727,11
11,3,14,0.43434,0,65,5,Reichel,0,12,8482117,-29,16,0.24615,L,2,2,20232024,0,0,0.05952,L,84,Lukas Reichel,CHI,846.6307,11
14,2,14,,1,76,2,Vlasic,0,45,8481568,-4,16,0.21052,D,0,2,20232024,0,0,0.02816,L,71,Alex Vlasic,CHI,1288.7236,11
10,5,8,,2,76,5,Korchinski,1,20,8483466,-39,15,0.19736,D,0,7,20232024,0,0,0.05376,L,93,Kevin Korchinski,CHI,1176.9868,11
9,3,10,0.33333,0,73,5,Raddysh,0,22,8479390,-19,14,0.19178,R,1,3,20232024,1,1,0.04166,R,120,Taylor Raddysh,CHI,952.9726,11
4,7,11,0.45714,2,44,8,Blackwell,0,10,8476278,-2,12,0.27272,C,1,1,20232024,0,0,0.0909,R,88,Colin Blackwell,CHI,869.5454,11
6,5,11,0.43765,1,67,5,Entwistle,0,47,8480025,-29,11,0.16417,R,0,0,20232024,0,0,0.07575,R,66,MacKenzie Entwistle,CHI,683.2238,11
5,3,7,,1,16,4,Perry,0,12,8470621,-5,9,0.5625,R,1,2,20232024,0,0,0.15384,R,26,Corey Perry,"CHI,EDM",879.1875,11
7,2,7,0.46341,0,28,2,Athanasiou,0,7,8476960,-7,9,0.32142,C,0,2,20232024,0,0,0.04545,L,44,Andreas Athanasiou,CHI,785.8571,11
4,4,8,0.45454,0,38,5,Katchouk,0,12,8479383,-2,9,0.23684,L,0,0,20232024,1,1,0.09615,L,52,Boris Katchouk,"CHI,OTT",747.2631,11
9,0,8,,0,52,0,Tinordi,0,64,8475797,-27,9,0.17307,D,0,0,20232024,0,1,0.0,L,32,Jarred Tinordi,CHI,938.75,11
4,2,5,0.5,0,27,4,Guttman,0,7,8480252,-17,8,0.29629,C,2,3,20232024,0,0,0.08,R,50,Cole Guttman,CHI,757.1851,11
6,2,8,,0,46,2,Murphy,0,40,8476473,-19,8,0.17391,D,0,0,20232024,0,0,0.03921,R,51,Connor Murphy,CHI,1189.913,11
7,0,7,,0,32,0,Kaiser,0,22,8482176,0,7,0.21875,D,0,0,20232024,0,0,0.0,L,18,Wyatt Kaiser,CHI,1038.75,11
5,2,5,,0,38,2,Zaitsev,0,14,8479458,-5,7,0.18421,D,0,2,20232024,0,0,0.06451,R,31,Nikita Zaitsev,CHI,955.8421,11
4,2,5,0.56896,0,23,2,Beauvillier,0,2,8478463,-10,6,0.26086,L,0,1,20232024,0,0,0.05555,L,36,Anthony Beauvillier,"VAN,CHI,NSH",861.6521,11
6,0,6,,0,33,0,Phillips,0,22,8482192,-26,6,0.18181,D,0,0,20232024,0,0,0.0,L,31,Isaak Phillips,CHI,1024.3636,11
3,2,5,0.51851,0,42,2,Johnson,0,40,8481147,-20,5,0.11904,C,0,0,20232024,0,0,0.03921,R,51,Reese Johnson,CHI,655.9761,11
41,25,56,0.4,4,82,31,Raymond,3,30,8482078,-12,72,0.87804,L,6,16,20232024,0,0,0.19018,R,163,Lucas Raymond,DET,1065.1951,12
36,17,41,0.55375,5,68,33,Larkin,2,39,8477946,5,69,1.0147,C,14,26,20232024,2,2,0.14932,L,221,Dylan Larkin,DET,1210.3529,12
40,16,48,0.42105,1,82,27,DeBrincat,0,34,8479337,1,67,0.81707,R,11,19,20232024,0,0,0.11392,R,237,Alex DeBrincat,DET,1073.5243,12
46,8,27,,2,81,10,Gostisbehere,0,16,8476906,-16,56,0.69135,D,2,29,20232024,0,0,0.07194,L,139,Shayne Gostisbehere,DET,1145.2469,12
29,12,36,0.44754,0,77,19,Compher,0,34,8477456,-5,48,0.62337,L,5,10,20232024,2,2,0.17592,R,108,J.T. Compher,DET,1163.2987,12
27,18,32,,7,50,20,Kane,3,16,8474141,-5,47,0.94,R,2,15,20232024,0,0,0.13605,L,147,Patrick Kane,DET,1102.58,12
30,10,30,0.47058,4,76,17,Perron,0,55,8474102,-12,47,0.61842,L,7,17,20232024,0,0,0.11258,R,151,David Perron,DET,937.7368,12
25,15,31,0.66666,1,76,18,Sprong,0,22,8478466,-5,43,0.56578,R,3,12,20232024,0,0,0.1125,R,160,Daniel Sprong,DET,720.0263,12
33,6,24,,0,82,9,Seider,0,51,8481542,-7,42,0.51219,D,3,17,20232024,0,1,0.06666,R,135,Moritz Seider,DET,1341.5731,12
20,12,29,0.48333,3,75,13,Rasmussen,0,47,8479992,8,33,0.44,C,0,0,20232024,1,4,0.12871,L,101,Michael Rasmussen,DET,911.4533,12
20,11,27,0.53546,3,79,13,Copp,0,26,8477429,-2,33,0.41772,C,1,3,20232024,1,3,0.11926,L,109,Andrew Copp,DET,976.4556,12
14,13,20,0.58333,3,68,18,Fabbri,0,32,8477952,-13,32,0.47058,C,5,12,20232024,0,0,0.18556,L,97,Robby Fabbri,DET,772.1029,12
16,9,22,0.49035,1,80,12,Veleno,0,25,8480813,-16,28,0.35,C,3,5,20232024,0,1,0.13953,L,86,Joseph Veleno,DET,837.3875,12
21,3,23,,0,73,3,Petry,0,39,8473507,-7,24,0.32876,D,0,0,20232024,0,1,0.03571,R,84,Jeff Petry,DET,1127.7123,12
9,11,16,,3,63,12,Walman,2,44,8478013,-2,21,0.33333,D,1,4,20232024,0,1,0.11111,L,108,Jake Walman,DET,1186.1587,12
15,5,20,,1,77,5,Chiarot,1,56,8475279,-4,20,0.25974,D,0,0,20232024,0,0,0.04672,L,107,Ben Chiarot,DET,1186.6623,12
14,4,18,0.40366,0,79,5,Fischer,0,36,8478432,0,19,0.2405,R,0,0,20232024,1,1,0.05813,R,86,Christian Fischer,DET,684.405,12
14,4,18,,0,72,4,Määttä,0,14,8476874,14,18,0.25,D,0,0,20232024,0,0,0.08333,L,48,Olli Määttä,DET,963.2361,12
4,2,6,,0,12,2,Berggren,0,2,8481013,-1,6,0.5,R,0,0,20232024,0,0,0.14285,L,14,Jonatan Berggren,DET,651.6666,12
5,0,5,,0,38,0,Holl,0,22,8475718,8,5,0.13157,D,0,0,20232024,0,0,0.0,R,14,Justin Holl,DET,904.921,12
1,3,4,0.66666,0,33,3,Kostin,0,38,8480011,-2,4,0.12121,C,0,0,20232024,0,0,0.13636,L,22,Klim Kostin,"DET,SJS",522.5454,12
1,1,2,,0,16,1,Edvinsson,0,4,8482762,0,2,0.125,D,0,0,20232024,0,0,0.07692,L,13,Simon Edvinsson,DET,1095.3125,12
1,0,1,0.49019,0,34,0,Czarnik,0,12,8478512,-3,1,0.02941,C,0,0,20232024,0,0,0.0,R,24,Austin Czarnik,DET,506.3235,12
0,0,0,,0,3,0,Aston-Reese,0,2,8479944,0,0,0.0,L,0,0,20232024,0,0,0.0,L,1,Zach Aston-Reese,DET,309.3333,12
47,20,44,0.23076,4,77,28,Kempe,1,72,8477960,13,75,0.97402,R,5,27,20232024,3,4,0.11382,L,246,Adrian Kempe,LAK,1136.0389,14
44,18,43,0.26315,2,82,29,Fiala,1,62,8477942,1,73,0.89024,L,11,30,20232024,0,0,0.12888,L,225,Kevin Fiala,LAK,1082.1341,14
44,16,44,0.55064,6,81,26,Kopitar,0,22,8471685,11,70,0.86419,C,9,23,20232024,1,3,0.19548,L,133,Anze Kopitar,LAK,1179.4938,14
26,27,48,0.29166,5,82,31,Moore,0,28,8479675,11,57,0.69512,L,2,7,20232024,2,2,0.12704,L,244,Trevor Moore,LAK,1078.7926,14
35,14,41,0.45555,4,80,20,Byfield,0,42,8482124,19,55,0.6875,R,6,14,20232024,0,0,0.12422,L,161,Quinton Byfield,LAK,989.025,14
35,8,30,,3,82,15,Doughty,1,44,8474563,15,50,0.60975,D,7,20,20232024,0,0,0.11111,R,135,Drew Doughty,LAK,1547.6097,14
30,14,36,0.51858,2,78,17,Danault,0,18,8476479,12,47,0.60256,C,3,9,20232024,0,2,0.10691,L,159,Phillip Danault,LAK,1081.2692,14
24,9,32,0.49661,4,82,16,Dubois,0,70,8479400,-9,40,0.4878,L,7,8,20232024,0,0,0.10958,L,146,Pierre-Luc Dubois,LAK,942.0731,14
20,5,22,,1,81,5,Roy,0,42,8478911,21,25,0.30864,D,0,1,20232024,0,2,0.03703,R,135,Matt Roy,LAK,1253.6913,14
22,1,18,,0,71,2,Spence,0,12,8481606,5,24,0.33802,D,1,6,20232024,0,0,0.025,R,80,Jordan Spence,LAK,865.5633,14
17,6,22,,1,77,6,Gavrikov,1,28,8478882,9,23,0.2987,D,0,0,20232024,0,1,0.05263,L,114,Vladislav Gavrikov,LAK,1237.0129,14
11,12,20,0.53846,2,81,12,Laferriere,0,46,8482155,-14,23,0.28395,R,0,3,20232024,0,0,0.08163,R,147,Alex Laferriere,LAK,793.2098,14
16,2,17,,0,74,2,Anderson,0,18,8479998,22,18,0.24324,D,0,0,20232024,0,1,0.02247,L,89,Mikey Anderson,LAK,1237.8783,14
8,7,13,0.42628,2,82,8,Lewis,0,20,8473453,7,16,0.19512,C,0,1,20232024,1,2,0.06153,R,130,Trevor Lewis,LAK,698.1463,14
